event_type,timestamp,job_id,job_planned_duration,job_remaining_duration,job_type,machine_id,machine_name,operator_id,operator_name,parts_made
machine_work_started,0,,,,,0,Machine 0,,,0
machine_work_started,0,,,,,1,Machine 1,,,0
machine_work_started,0,,,,,2,Machine 2,,,0
machine_work_started,0,,,,,3,Machine 3,,,0
machine_work_started,0,,,,,4,Machine 4,,,0
on_machine_broken,1.8529153634886415,,,,,,,,,
job_added_to_store,1.8529153634886415,0,14.569394676401023,14.569394676401023,JobType.ELECTRICAL_MAINTENANCE,0,,,,
job_started,1.8529153634886415,0,,,JobType.ELECTRICAL_MAINTENANCE,0,,0,Operator 0,
machine_part_completed,7.809343230999531,,,,,3,Machine 3,,,1
machine_part_completed,8.552515345242425,,,,,1,Machine 1,,,1
machine_part_completed,10.257309835726906,,,,,4,Machine 4,,,1
machine_part_completed,10.44642702201396,,,,,2,Machine 2,,,1
machine_part_completed,14.118844205274524,,,,,1,Machine 1,,,2
on_machine_broken,14.19319519682019,,,,,,,,,
job_added_to_store,14.19319519682019,1,38.836492407207245,38.836492407207245,JobType.ELECTRICAL_MAINTENANCE,1,,,,
machine_part_completed,16.098194737838625,,,,,4,Machine 4,,,2
machine_part_completed,16.422310039889698,,,,,0,Machine 0,,,1
job_started,16.422310039889698,1,,,JobType.ELECTRICAL_MAINTENANCE,1,,0,Operator 0,
machine_part_completed,19.451849258251606,,,,,3,Machine 3,,,2
machine_part_completed,21.72685371796652,,,,,2,Machine 2,,,2
machine_part_completed,22.639701420738113,,,,,4,Machine 4,,,3
machine_part_completed,26.332522097860043,,,,,0,Machine 0,,,2
machine_part_completed,31.27759958419604,,,,,3,Machine 3,,,3
machine_part_completed,31.582435999622227,,,,,0,Machine 0,,,3
machine_part_completed,33.03486045855838,,,,,2,Machine 2,,,3
machine_part_completed,35.61232093782875,,,,,4,Machine 4,,,4
on_machine_broken,37.955510578142466,,,,,,,,,
job_added_to_store,37.955510578142466,2,10.09313270327958,10.09313270327958,JobType.MECHANICAL_MAINTENANCE,4,,,,
machine_part_completed,38.549222713044884,,,,,0,Machine 0,,,4
machine_part_completed,41.368193935197134,,,,,3,Machine 3,,,4
machine_part_completed,43.0155410334742,,,,,2,Machine 2,,,4
machine_part_completed,45.789935335963214,,,,,0,Machine 0,,,5
on_machine_broken,50.23222084599766,,,,,,,,,
job_added_to_store,50.23222084599766,3,10.190694535833716,10.190694535833716,JobType.MECHANICAL_MAINTENANCE,0,,,,
machine_part_completed,51.51256829467592,,,,,3,Machine 3,,,5
machine_part_completed,51.78062279986938,,,,,2,Machine 2,,,5
on_machine_broken,52.59109371256922,,,,,,,,,
job_added_to_store,52.59109371256922,4,12.23645579822203,12.23645579822203,JobType.MECHANICAL_MAINTENANCE,3,,,,
machine_part_completed,55.258802447093906,,,,,1,Machine 1,,,3
job_started,55.258802447093906,2,,,JobType.MECHANICAL_MAINTENANCE,4,,0,Operator 0,
on_machine_broken,60.37743961605378,,,,,,,,,
job_added_to_store,60.37743961605378,5,4.8902133043544245,4.8902133043544245,JobType.SOFTWARE_UPDATE,2,,,,
machine_part_completed,65.3519351503726,,,,,4,Machine 4,,,5
job_started,65.3519351503726,3,,,JobType.MECHANICAL_MAINTENANCE,0,,0,Operator 0,
machine_part_completed,67.97624743878002,,,,,1,Machine 1,,,4
on_machine_broken,69.38794198649234,,,,,,,,,
job_added_to_store,69.38794198649234,6,8.349773276213504,8.349773276213504,JobType.MECHANICAL_MAINTENANCE,1,,,,
machine_part_completed,75.5426296862117,,,,,0,Machine 0,,,6
job_started,75.5426296862117,6,,,JobType.MECHANICAL_MAINTENANCE,1,,0,Operator 0,
machine_part_completed,75.83732762804047,,,,,4,Machine 4,,,6
on_machine_broken,83.00842147375678,,,,,,,,,
job_added_to_store,83.00842147375678,7,7.624496990526264,7.624496990526264,JobType.MECHANICAL_MAINTENANCE,4,,,,
machine_part_completed,83.8924029624296,,,,,1,Machine 1,,,5
job_started,83.8924029624296,7,,,JobType.MECHANICAL_MAINTENANCE,4,,0,Operator 0,
machine_part_completed,88.36505733146544,,,,,0,Machine 0,,,7
machine_part_completed,91.51689995295988,,,,,4,Machine 4,,,7
job_started,91.51689995295988,4,,,JobType.MECHANICAL_MAINTENANCE,3,,0,Operator 0,
on_machine_broken,95.07175505125825,,,,,,,,,
job_added_to_store,95.07175505125825,8,5.54222464903933,5.54222464903933,JobType.SOFTWARE_UPDATE,1,,,,
machine_part_completed,96.60067639063334,,,,,0,Machine 0,,,8
on_machine_broken,99.54655807276315,,,,,,,,,
job_added_to_store,99.54655807276315,9,9.63122342366507,9.63122342366507,JobType.MECHANICAL_MAINTENANCE,4,,,,
on_machine_broken,100.04643328774121,,,,,,,,,
job_added_to_store,100.04643328774121,10,5.215185669810387,5.215185669810387,JobType.SOFTWARE_UPDATE,0,,,,
machine_part_completed,103.75335575118838,,,,,3,Machine 3,,,6
job_started,103.75335575118838,9,,,JobType.MECHANICAL_MAINTENANCE,4,,0,Operator 0,
machine_part_completed,112.5029013494191,,,,,3,Machine 3,,,7
machine_part_completed,113.38457917485854,,,,,4,Machine 4,,,8
job_started,113.38457917485854,5,,,JobType.SOFTWARE_UPDATE,2,,0,Operator 0,
on_machine_broken,115.39406948328126,,,,,,,,,
job_added_to_store,115.39406948328126,11,4.905798320809731,4.905798320809731,JobType.SOFTWARE_UPDATE,4,,,,
on_machine_broken,116.18310645480341,,,,,,,,,
job_added_to_store,116.18310645480341,12,49.63807744010443,49.63807744010443,JobType.ELECTRICAL_MAINTENANCE,3,,,,
job_added_to_store,116.18457917485998,5,4.8902133043544245,2.090213304354484,JobType.SOFTWARE_UPDATE,2,,,,
job_started,116.18457917485998,12,,,JobType.ELECTRICAL_MAINTENANCE,3,,0,Operator 0,
machine_part_completed,165.82265661493736,,,,,3,Machine 3,,,8
job_started,165.82265661493736,5,,,JobType.SOFTWARE_UPDATE,2,,0,Operator 0,
machine_part_completed,167.91286991928993,,,,,2,Machine 2,,,6
job_started,167.91286991928993,11,,,JobType.SOFTWARE_UPDATE,4,,0,Operator 0,
machine_part_completed,172.81866824009526,,,,,4,Machine 4,,,9
job_started,172.81866824009526,10,,,JobType.SOFTWARE_UPDATE,0,,0,Operator 0,
machine_part_completed,178.03385390990098,,,,,0,Machine 0,,,9
job_started,178.03385390990098,8,,,JobType.SOFTWARE_UPDATE,1,,0,Operator 0,
machine_part_completed,178.3275292756098,,,,,3,Machine 3,,,9
machine_part_completed,179.10841562643338,,,,,2,Machine 2,,,7
on_machine_broken,179.7658866135221,,,,,,,,,
job_added_to_store,179.7658866135221,13,13.35058095198213,13.35058095198213,JobType.MECHANICAL_MAINTENANCE,2,,,,
job_added_to_store,179.7738539098994,8,5.54222464903933,3.802224649039367,JobType.SOFTWARE_UPDATE,1,,,,
job_started,179.7738539098994,13,,,JobType.MECHANICAL_MAINTENANCE,2,,0,Operator 0,
machine_part_completed,180.95300285767246,,,,,4,Machine 4,,,10
machine_part_completed,187.60370821954845,,,,,3,Machine 3,,,10
machine_part_completed,188.89528676056784,,,,,0,Machine 0,,,10
machine_part_completed,192.90215139444555,,,,,4,Machine 4,,,11
machine_part_completed,193.12443486186962,,,,,2,Machine 2,,,8
job_started,193.12443486186962,8,,,JobType.SOFTWARE_UPDATE,1,,0,Operator 0,
machine_part_completed,193.5423570704751,,,,,3,Machine 3,,,11
on_machine_broken,195.34424282258834,,,,,,,,,
job_added_to_store,195.34424282258834,14,9.360887282222267,9.360887282222267,JobType.ELECTRICAL_MAINTENANCE,2,,,,
job_added_to_store,195.3444348618676,8,5.54222464903933,1.582224649039405,JobType.SOFTWARE_UPDATE,1,,,,
job_started,195.3444348618676,14,,,JobType.ELECTRICAL_MAINTENANCE,2,,0,Operator 0,
on_machine_broken,197.44418267427477,,,,,,,,,
job_added_to_store,197.44418267427477,15,25.860396023953584,25.860396023953584,JobType.ELECTRICAL_MAINTENANCE,4,,,,
machine_part_completed,197.93451274289163,,,,,0,Machine 0,,,11
on_machine_broken,199.6291486398418,,,,,,,,,
job_added_to_store,199.6291486398418,16,4.761304767226072,4.761304767226072,JobType.SOFTWARE_UPDATE,0,,,,
machine_part_completed,199.97566966299794,,,,,3,Machine 3,,,12
machine_part_completed,204.70532214408152,,,,,2,Machine 2,,,9
